"","Source","SSP","RCP","GCM","Year2","cCotton.sum","cCorn.sum","cRice.sum","cSoybean.sum","cSugar.sum","cWheat.sum"
"1","harmonized","ssp1","rcp26","gfdl",2015,-139479.743080022,-10545373.8313128,-7723035.59350963,-789940.787626713,-299218.113509036,-4210556.26175175
"2","harmonized","ssp1","rcp26","gfdl",2020,-167477.409410973,-12058350.7989692,-8540261.87276333,-993201.727565336,-250731.98451615,-4331792.31889519
"3","harmonized","ssp1","rcp26","gfdl",2025,-207625.588398705,-14071691.3829986,-9140090.92632699,-1145496.19733988,-232337.124820225,-4346441.88163492
"4","harmonized","ssp1","rcp26","gfdl",2030,-255083.696264366,-15698215.5707563,-9736832.63340903,-1319797.79091302,-180782.441877555,-4262829.43535724
"5","harmonized","ssp1","rcp26","gfdl",2035,-290671.12364091,-17052136.2802638,-10351575.4305802,-1436640.78851758,-148860.685510431,-4413122.61656659
"6","harmonized","ssp1","rcp26","gfdl",2040,-333720.630136917,-18728623.1075875,-11173696.3343485,-1605297.78320839,-122553.950791331,-4573510.69392153
"7","harmonized","ssp1","rcp26","gfdl",2045,-363060.316929191,-19772296.3558052,-11937119.9568081,-1664528.2703831,-102255.047240676,-4709617.98012053
"8","harmonized","ssp1","rcp26","gfdl",2050,-364066.233665432,-20041950.3871151,-12260303.0159881,-1688507.59611375,-82316.4078898308,-4848951.39858321
"9","harmonized","ssp1","rcp26","gfdl",2055,-373422.7687039,-20637300.5393475,-12561466.5411863,-1738537.27314099,-68786.4406834282,-4939399.1214388
"10","harmonized","ssp1","rcp26","gfdl",2060,-375447.518426916,-20946788.0018474,-12879477.4688583,-1779435.36298036,-58635.8932669783,-5053425.01219113
"11","harmonized","ssp1","rcp26","gfdl",2065,-383430.015633482,-21152559.437656,-13244876.7625776,-1813560.18271358,-44567.8573252532,-5127268.67311951
"12","harmonized","ssp1","rcp26","gfdl",2070,-375517.577644787,-21134817.4157154,-13355420.7020754,-1785974.68977527,-31401.9514641336,-5199894.52458065
"13","harmonized","ssp1","rcp26","gfdl",2075,-367163.970720979,-21555398.7225864,-13056468.7631014,-1746420.38992016,-21762.7882560641,-5194575.46997747
"14","harmonized","ssp1","rcp26","gfdl",2080,-360657.309298844,-22347708.0697379,-12930575.6563354,-1716666.01265391,-15851.5996701116,-5108273.06977655
"15","harmonized","ssp1","rcp26","gfdl",2085,-349801.423288034,-23133390.1225658,-12861830.5808285,-1646505.04062804,-13291.4783615478,-5022544.89483823
"16","harmonized","ssp1","rcp26","gfdl",2090,-339626.315434207,-22783736.9764771,-13081981.880454,-1631703.37279968,-10949.1040504852,-5021415.07739946
"17","harmonized","ssp1","rcp26","gfdl",2095,-330074.714817864,-21874708.6771179,-13086956.131684,-1606463.50982129,-8037.02328971304,-4944077.61003523
"18","harmonized","ssp1","rcp26","gfdl",2100,-316539.950256508,-19886589.5946302,-12828882.786677,-1601422.99761559,-5865.10257719795,-4784908.57545896
"19","harmonized","ssp1","rcp26","hadgem",2015,-169434.967265477,-9994437.36564502,-7596353.88499302,-832508.117306394,-212852.680704228,-4385777.1151748
"20","harmonized","ssp1","rcp26","hadgem",2020,-203774.761006357,-11819910.2583412,-8310209.27557302,-1028974.78471544,-205887.576449638,-4563142.52897993
"21","harmonized","ssp1","rcp26","hadgem",2025,-240660.649754099,-13600759.3933993,-9088185.55013824,-1196218.41967145,-176590.981677519,-4501965.39006979
"22","harmonized","ssp1","rcp26","hadgem",2030,-279945.635272445,-15182200.4344902,-9370476.0958785,-1372504.01163103,-165386.131206488,-4555849.9988984
"23","harmonized","ssp1","rcp26","hadgem",2035,-305131.808315015,-16569190.955666,-9905302.13936402,-1522406.19715208,-161324.757634175,-4615840.14117578
"24","harmonized","ssp1","rcp26","hadgem",2040,-332369.757379474,-18123453.3800353,-10540240.8378828,-1654316.92865916,-140453.417702861,-4737692.35728154
"25","harmonized","ssp1","rcp26","hadgem",2045,-336859.246161857,-19286636.5434887,-11022018.0229448,-1747774.46687471,-109726.61318386,-4866982.65779949
"26","harmonized","ssp1","rcp26","hadgem",2050,-341249.822687033,-19878694.1872563,-11395370.2603339,-1784218.82325493,-84796.9546619389,-4868031.94649145
"27","harmonized","ssp1","rcp26","hadgem",2055,-352246.133328239,-20534776.439721,-11986921.8830099,-1846613.28710873,-65849.67305181,-4988079.02727754
